Year,Week,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations
2020,11,1046,9,131,634,0
2020,12,3111,140,1318,6502,0
2020,13,7558,602,4800,22192,0
2020,14,9634,1357,8242,37215,0
2020,15,11209,1938,8867,39472,0
2020,16,8351,1820,8033,36515,0
2020,17,6275,1285,6800,30761,0
2020,18,3262,830,5220,23937,0
2020,19,3119,571,3732,18027,0
2020,20,2201,414,2730,13132,0
2020,21,1540,246,1969,9955,0
2020,22,1232,181,1373,6976,0
2020,23,835,141,968,4879,0
2020,24,722,79,660,3285,0
2020,25,669,44,408,2345,0
2020,26,612,40,267,1819,0
2020,27,614,33,240,1364,0
2020,28,687,13,214,1077,0
2020,29,1296,22,194,1056,0
2020,30,2270,17,282,1386,0
2020,31,3715,20,352,1767,0
2020,32,4371,34,448,1977,0
2020,33,3882,67,548,2187,0
2020,34,3430,53,601,2249,0
2020,35,3127,31,557,1834,0
2020,36,3490,22,418,1552,0
2020,37,5717,21,442,1801,0
2020,38,9672,20,515,2602,0
2020,39,11145,33,745,4047,0
2020,40,17885,76,1137,5410,0
2020,41,35324,125,1485,7834,0
2020,42,67672,237,2343,13687,0
2020,43,101847,366,4114,25963,0
2020,44,106752,915,7264,42692,0
2020,45,58229,1354,9888,50469,0
2020,46,34794,1381,10182,47953,0
2020,47,23781,1224,9024,39861,0
2020,48,16348,924,7225,31003,0
2020,49,14990,773,5655,24442,0
2020,50,15997,663,4611,20930,0
2020,51,17504,655,3973,18727,0
2020,52,12529,598,3603,17008,0
2021,53,10587,478,3436,15765,650
2021,1,13335,387,2806,14328,27415
2021,2,13362,364,2504,13447,99445
2021,3,14307,360,2392,13547,123614
2021,4,16127,345,2228,12909,92703
2021,5,15414,287,2148,12247,139842
2021,6,12643,279,2107,11465,147318
2021,7,14680,252,2218,11223,117706
2021,8,16796,165,2629,12509,127192
2021,9,16333,192,2973,13377,174574
2021,10,20001,174,3204,13643,195493
2021,11,28468,180,3778,15024,294140
2021,12,33670,187,4558,17483,319957
2021,13,30410,232,5476,20445,348952
2021,14,24742,301,6307,21739,447609
2021,15,24408,275,6514,21351,495306
2021,16,25035,272,6390,20982,428265
2021,17,21346,273,6040,19342,454766
2021,18,20880,247,5263,16894,737928
2021,19,15229,179,4583,13821,609042
2021,20,16785,140,3985,11544,763100
2021,21,12669,95,3434,9623,644974
2021,22,9742,99,2596,7530,908355
2021,23,5708,60,2125,5718,1078420
2021,24,3192,44,1632,3927,1034892
2021,25,2393,32,1204,2849,913461
2021,26,3624,22,901,2026,726918
2021,27,6617,13,671,1712,875221
2021,28,9384,12,597,1699,806821
2021,29,10389,11,606,1935,815986
2021,30,10985,24,664,2230,780254
2021,31,12286,24,683,2674,614508
2021,32,13436,23,921,3360,397587
2021,33,13713,36,1203,4116,259414
2021,34,14154,40,1272,4346,250599
2021,35,13996,37,1428,4701,168435
2021,36,13755,56,1565,4899,97942
2021,37,14553,42,1519,4905,97122
2021,38,13625,56,1476,4765,144709
2021,39,13444,58,1447,4919,172044
2021,40,14524,66,1418,5068,192035
2021,41,21273,82,1393,5597,197184
2021,42,37375,98,1687,7312,153795
2021,43,53380,154,1917,10188,170663
2021,44,55358,146,2521,13052,132757
2021,45,70372,197,3257,16127,161106
2021,46,109038,240,4095,20280,324190
2021,47,125241,281,4739,24100,508487
2021,48,120571,346,5571,25611,610918
2021,49,93713,328,5788,24110,642350
2021,50,60686,273,5516,20834,733916
2021,51,45596,254,4711,15537,649393
2022,52,76996,170,3847,12764,320766
2022,1,142541,131,3311,13158,756925
2022,2,189412,150,2906,14398,733597
2022,3,334758,171,2624,18840,425696
2022,4,336348,210,2579,25424,272013
2022,5,202844,287,2960,29093,249171
2022,6,110136,325,2855,27598,294727
2022,7,67474,292,2429,22737,240276
2022,8,46661,174,1880,18255,220923
2022,9,42733,139,1542,14699,74511
2022,10,56086,142,1311,13916,76233
2022,11,71510,130,1226,15696,48602
2022,12,79185,152,1189,18137,37854
2022,13,73163,169,1206,20523,32193
2022,14,64176,176,1247,21487,12259
2022,15,53684,164,1300,21626,9905
2022,16,42050,138,1153,20544,13006
2022,17,33693,111,1007,17127,11155
2022,18,31079,107,851,14078,7513
2022,19,26107,64,763,11762,8136
2022,20,16893,58,720,9427,12083
2022,21,9459,48,588,7438,24189
2022,22,11121,43,526,6158,74370
2022,23,13293,44,451,6078,86312
2022,24,19471,38,374,6181,68991
2022,25,27121,33,429,7727,46910
2022,26,39113,57,514,9618,22470
2022,27,54259,54,598,11542,15774
2022,28,50068,79,733,14959,15413
2022,29,30244,77,838,15503,7655
2022,30,28023,99,789,14110,10397
2022,31,20468,71,820,12249,10451
2022,32,15148,69,725,9751,10778
2022,33,12031,65,591,8315,12677
2022,34,10917,50,468,6651,16865
2022,35,10473,40,432,5439,14503
2022,36,11341,35,378,5066,25313
2022,37,13019,46,357,4836,569062
2022,38,15764,20,350,5241,646907
2022,39,20014,27,393,7597,630735
2022,40,22321,50,479,9913,544134
2022,41,19437,69,492,10480,470643
2022,42,13434,65,539,10503,348633
2022,43,8326,50,478,8496,270669
2022,44,4596,40,400,6381,68569
2022,45,4600,33,364,5557,57734
2022,46,5268,38,333,4859,46002
2022,47,6650,27,306,5347,25946
2022,48,8170,21,331,6777,23683
2022,49,9710,45,413,8722,20361
2022,50,10121,70,503,11506,17333
2022,51,9853,85,682,13775,13011
2023,52,6375,96,683,12877,5212
2023,1,4684,72,675,9946,6006
2023,2,3088,62,540,6935,9411
2023,3,2442,36,367,5338,6789
2023,4,3167,31,316,4812,5135
2023,5,4830,21,313,5973,3475
2023,6,6208,48,283,6941,2496
2023,7,8813,48,281,8877,1839
2023,8,9732,59,437,11133,1549
2023,9,10777,57,572,12251,1212
2023,10,12484,57,756,14733,1194
2023,11,11577,77,878,16180,1171
2023,12,9908,84,806,14815,1010
2023,13,7120,69,751,12844,876
2023,14,5044,52,634,9744,500
2023,15,3691,35,529,8959,336
2023,16,3194,30,466,7598,463
2023,17,2492,43,357,6290,447
2023,18,1717,31,327,5203,427
2023,19,1361,19,267,4388,307
2023,20,956,23,83,1131,220
2023,21,873,17,29,394,358
2023,22,547,10,24,306,205
2023,23,532,7,19,238,280
2023,24,332,8,19,211,173
2023,25,236,6,11,139,157
2023,26,180,1,9,116,185
