Year,Week,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations,Sequence_Index
2020,12,0,670,6197,25125,0,1
2020,13,0,1999,23455,97379,0,2
2020,14,0,3276,42935,178344,0,3
2020,15,0,3344,48249,214197,0,4
2020,16,0,2730,43058,218940,0,5
2020,17,0,2096,35036,203973,0,6
2020,18,0,1406,28344,185788,0,7
2020,19,0,1056,21332,164930,0,8
2020,20,677,810,16103,143634,0,9
2020,21,4340,562,12184,124352,0,10
2020,22,3436,471,9861,106976,0,11
2020,23,2745,331,7922,92232,0,12
2020,24,2627,258,6235,80015,0,13
2020,25,2267,159,5151,70994,0,14
2020,26,2024,111,4374,63727,0,15
2020,27,2324,100,3835,57200,0,16
2020,28,2853,120,3435,50750,0,17
2020,29,3510,94,3195,47318,0,18
2020,30,5565,98,2823,42178,0,19
2020,31,7676,77,2484,37489,0,20
2020,32,10899,69,2543,35347,0,21
2020,33,16650,92,2495,34074,0,22
2020,34,25208,118,2554,33260,0,23
2020,35,37753,111,2707,31840,0,24
2020,36,50197,126,3142,32406,0,25
2020,37,61432,258,4245,35433,0,26
2020,38,73481,429,5527,39413,0,27
2020,39,72509,559,7201,41798,0,28
2020,40,74819,561,8741,46529,0,29
2020,41,116159,690,10028,53820,0,30
2020,42,167835,963,12175,67673,0,31
2020,43,261329,1774,16305,98322,0,32
2020,44,332505,3154,22233,147234,0,33
2020,45,303116,4794,29149,195844,0,34
2020,46,176429,5487,33708,225341,0,35
2020,47,114947,5602,32687,226492,0,36
2020,48,77077,4679,28237,206312,0,37
2020,49,71372,3963,23939,188086,0,38
2020,50,77674,3792,20832,178038,0,39
2020,51,92919,3383,19632,175812,0,40
2020,52,83888,3119,18706,173015,0,41
2021,1,122263,3429,18279,172172,106438,42
2021,2,118842,3454,18988,174462,351260,43
2021,3,130149,3414,20083,180558,683158,44
2021,4,132624,3159,21671,190237,590185,45
2021,5,128451,3069,22707,194173,598914,46
2021,6,110436,2892,23212,189030,797756,47
2021,7,117551,2516,23574,180558,830124,48
2021,8,127696,2151,24098,177821,853743,49
2021,9,124259,2033,25512,174903,1321391,50
2021,10,142978,1872,27907,174632,1589674,51
2021,11,183823,1799,29969,178466,1267909,52
2021,12,223964,1834,32971,189369,1860996,53
2021,13,242407,1959,36076,200847,2003100,54
2021,14,203218,2120,39857,213240,2154118,55
2021,15,202154,1967,41378,215614,2582297,56
2021,16,179462,2062,41792,214713,2569452,57
2021,17,142908,1954,40468,206626,2806220,58
2021,18,106629,1533,36849,189976,3276963,59
2021,19,80870,1189,31516,167923,3589950,60
2021,20,83455,940,26522,146598,3697049,61
2021,21,60391,772,22604,126559,3451929,62
2021,22,46483,565,18824,107463,4069415,63
2021,23,27004,355,15816,92611,4061502,64
2021,24,14820,309,12838,78689,4097347,65
2021,25,10690,234,10246,66795,4108663,66
2021,26,13906,171,8249,58025,4145515,67
2021,27,23318,142,6924,52007,3976150,68
2021,28,46656,96,6415,49143,4336587,69
2021,29,118078,119,6141,48086,4796089,70
2021,30,143183,240,7245,51013,4374255,71
2021,31,147135,282,9878,57636,3577080,72
2021,32,150930,353,12451,65865,3161260,73
2021,33,133571,699,14289,72727,3120068,74
2021,34,112124,464,15741,77654,3025098,75
2021,35,85782,489,15850,76532,2584698,76
2021,36,64820,437,15338,72309,1817178,77
2021,37,46736,386,13574,65446,1553107,78
2021,38,36114,331,11548,58171,1273212,79
2021,39,30916,276,9981,53084,1069899,80
2021,40,26346,191,8472,48584,1013107,81
2021,41,31095,175,7574,45837,966961,82
2021,42,34241,179,7165,44994,960102,83
2021,43,38425,177,7266,45510,938856,84
2021,44,48057,212,7644,46912,903400,85
2021,45,66361,233,8174,48781,1129009,86
2021,46,119701,317,9192,54298,1551247,87
2021,47,195222,454,10655,62442,2028285,88
2021,48,288799,619,13554,75426,3414500,89
2021,49,337285,903,17068,92751,4433693,90
2021,50,360652,1033,19989,105858,5121512,91
2021,51,519740,1157,22311,112872,3060118,92
2022,52,1140724,1315,24399,127072,2682670,93
2021,53,88948,2915,18543,171856,4003,94
2022,1,1726217,1484,26256,146957,4565385,95
2022,2,1961912,1499,27396,168105,3805640,96
2022,3,2417043,1658,26786,193273,2472859,97
2022,4,2329374,1933,25854,215632,1877562,98
2022,5,1707588,1996,25595,229722,1501615,99
2022,6,958639,1988,24096,227174,1387214,100
2022,7,565947,1745,21523,209513,965154,101
2022,8,393549,1331,18677,184973,528578,102
2022,9,348284,1094,15731,163623,330706,103
2022,10,419228,820,13602,149704,182419,104
2022,11,586328,792,11992,144735,209732,105
2022,12,851993,727,10779,144509,245114,106
2022,13,959358,801,10767,152413,258388,107
2022,14,928373,788,10885,162635,294644,108
2022,15,822438,852,11449,173229,283424,109
2022,16,539161,889,11598,175075,236513,110
2022,17,376510,867,11323,168452,278122,111
2022,18,264928,749,10129,153438,263555,112
2022,19,216715,614,9025,138356,266871,113
2022,20,162239,466,7897,123463,258074,114
2022,21,113355,300,7282,112552,178696,115
2022,22,148073,329,6547,103074,246342,116
2022,23,193813,237,6188,99093,237406,117
2022,24,297927,265,5916,97724,275311,118
2022,25,456705,291,5846,101187,345716,119
2022,26,731586,264,6487,110727,574992,120
2022,27,903969,424,7156,122773,746446,121
2022,28,683784,585,8273,137087,542940,122
2022,29,522296,731,9053,145594,543245,123
2022,30,329431,597,8647,143490,419433,124
2022,31,212195,529,8122,134563,275928,125
2022,32,151186,518,7375,123529,189663,126
2022,33,119216,413,6863,115450,132760,127
2022,34,117039,317,6020,108072,150728,128
2022,35,106571,302,5738,100681,152357,129
2022,36,112374,263,5356,94593,154752,130
2022,37,188853,202,5100,91033,140368,131
2022,38,230732,217,4936,90490,143743,132
2022,39,310114,217,5523,99305,134604,133
2022,40,385474,314,6117,113665,138513,134
2022,41,392073,414,6710,128864,217933,135
2022,42,348646,522,7337,140028,260385,136
2022,43,222885,495,7300,138776,234111,137
2022,44,153617,445,7304,133062,160038,138
2022,45,151055,397,6780,126777,188113,139
2022,46,221689,469,6778,125927,221228,140
2022,47,293632,455,6951,128124,200901,141
2022,48,384070,485,7639,136508,275980,142
2022,49,429679,569,8140,149792,443930,143
2022,50,391192,721,9397,166573,537008,144
2022,51,299842,807,10096,175678,297545,145
2023,52,151707,808,10300,172467,148475,146
2023,1,80829,775,9624,159988,234587,147
2023,2,43524,506,8629,143734,199373,148
2023,3,31693,398,7738,130267,141125,149
2023,4,29999,326,6583,115467,103482,150
2023,5,26127,260,5807,100133,73725,151
2023,6,22545,171,5432,94683,51791,152
2023,7,24116,180,5243,91544,35836,153
2023,8,26274,170,5114,90757,28673,154
2023,9,25318,152,5033,89487,23500,155
2023,10,35851,125,5193,91170,17428,156
2023,11,46305,163,5291,92965,14951,157
2023,12,54593,168,5262,92412,13826,158
2023,13,57282,210,3623,65810,13264,159
